2005,1,1	2005,1,1	2005,1,1
2005,2,1	2005,2,1	2005,2,1
2005,3,1	2005,3,1	2005,3,1
2005,4,1	2005,4,1	2005,4,1
2005,5,1	2005,5,1	2005,5,1
2005,6,1	2005,6,1	2005,6,1
2005,7,1	2005,7,1	2005,7,1
2005,8,1	2005,8,1	2005,8,1
2005,9,1	2005,9,1	2005,9,1
2005,10,1	2000,1,01	2000,5,01
2005,11,1	2000,1,01	2000,5,01
2005,12,1	2001,7,01	2001,2,01
2006,1,1	2002,1,01	2001,6,01
2006,2,1	2003,1,01	2002,4,01
2006,3,1	2003,7,01	2002,7,01
2006,4,1	2004,1,01	2003,1,01
2006,5,1	2004,7,01	2004,1,01
2006,6,1	2005,7,01	2004,7,01
2006,7,1	2006,7,1	2005,3,01
2006,8,1	2006,8,1	2005,3,01
2006,9,1	2006,9,1	2005,3,01
2006,10,1	2006,10,1	2005,4,01
2006,11,1	2006,11,1	2005,4,15
2006,12,1	2006,12,1	2005,4,22
2007,1,1	2007,1,1	2005,4,22
2007,2,1	2007,2,1	2005,4,22
2007,3,1	2007,3,1	2005,4,22
2007,4,1	2007,4,1	2005,4,22
2007,5,1	2007,5,1	2005,4,22
2007,6,1	2007,6,1	2006,1,01
2007,7,1	2007,7,1	2007,7,1
2007,8,1	U	U
2007,9,1	2007,1,01	2006,1,01
2007,10,1	2007,10,1	2006,1,01
2007,11,1	2007,11,1	2006,1,01
2007,12,1	2007,12,1	2003,1,01
2008,1,1	2008,1,1	2003,1,01
2008,2,1	2008,2,1	2003,1,01
2008,3,1	2008,3,1	2003,12,01
2008,4,1	2008,4,1	2003,12,01
2008,5,1	2008,5,1	2004,1,01
2008,6,1	2008,6,1	2004,4,01
2008,7,1	2008,7,1	2004,4,01
2008,8,1	2008,8,1	2006,6,01
2008,9,1	2008,9,1	2006,8,01
2008,10,1	2008,10,1	2004,4,01
2008,11,1	2008,11,1	2004,6,01
2008,12,1	2008,12,1	2004,6,01
2009,1,1	2009,1,1	2004,7,08
2009,2,1	2009,2,1	2005,1,01
2009,3,1	2009,3,1	2005,2,15
2009,4,1	2009,4,1	2005,2,15
2009,5,1	2009,5,1	2005,2,15
2009,6,1	2009,6,1	2005,2,15
2009,7,1	2009,7,1	2000,1,01
2009,8,1	2009,8,1	2003,10,01
2009,9,1	2009,9,1	2005,1,08
2009,10,1	2009,10,1	2005,3,22
2009,11,1	2009,11,1	2005,4,01
2009,12,1	2009,12,1	2005,4,01
2010,1,1	2010,1,1	2005,5,01
2010,2,1	2010,2,1	2005,5,22
2010,3,1	2010,3,1	2005,7,08
2010,4,1	2010,4,1	2005,8,22
2010,5,1	2010,5,1	2005,9,22
2010,6,1	2010,6,1	2005,11,22
2010,7,1	2010,7,1	2005,11,22
2010,8,1	2010,8,1	2006,3,01
2010,9,1	2010,9,1	2006,5,08
2010,10,1	2010,10,1	2006,5,22
2010,11,1	2010,11,1	2006,6,01
2010,12,1	2010,12,1	2006,6,08
2011,1,1	2011,1,1	2006,6,22
2011,2,1	2011,2,1	2006,7,01
2011,3,1	2011,3,1	2006,7,08
2011,4,1	2011,4,1	2006,7,22
2011,5,1	2011,5,1	2006,8,01
2011,6,1	2011,6,1	2006,10,15
2011,7,1	2011,7,1	2007,3,08
2011,8,1	2011,8,1	2007,4,15
2011,9,1	2011,9,1	2007,4,15
2011,10,1	2011,10,1	2007,7,15
2011,11,1	2011,11,1	2007,11,01
2011,12,1	2011,12,1	2008,3,15
2012,1,1	2012,1,1	2009,1,01
2012,2,1	2012,2,1	2010,1,01
2012,3,1	2012,3,1	2010,5,01
2012,4,1	2012,4,1	2010,5,01
2012,5,1	2012,5,1	2007,8,15
2012,6,1	2012,6,1	U
2012,7,1	2012,7,1	U
2012,8,1	2012,8,1	U
2012,9,1	2012,9,1	U
2012,10,1	2012,10,1	2007,7,15
2012,11,1	2012,11,1	2007,9,01
2012,12,1	2012,12,1	2007,10,22
2013,1,1	2013,1,1	2007,12,08
2013,2,1	2013,2,1	2008,1,15
2013,3,1	2013,3,1	2008,2,15
2013,4,1	2013,4,1	2008,4,01
2013,5,1	2013,5,1	2008,5,15
2013,6,1	2013,6,1	2008,7,15
2013,7,1	2013,7,1	2008,8,08
2013,8,1	2013,8,1	2008,8,08
2013,9,1	2013,9,1	2008,8,08
2013,10,1	2013,10,1	2008,9,15
2013,11,1	2013,11,1	2008,10,08
2013,12,1	2013,12,1	2008,11,08
2014,1,1	2014,1,1	2008,12,08
2014,2,1	2014,2,1	2009,1,08
2014,3,1	2014,3,1	2009,2,15
2014,4,1	2014,4,1	2009,3,08
2014,5,1	2014,5,1	2009,4,15
2014,6,1	2014,6,1	2009,5,22
2014,7,1	2014,7,1	2009,7,01
2014,8,1	2014,8,1	2009,10,08
2014,9,1	2014,9,1	2009,10,08
2014,10,1	2014,10,1	2009,11,15
2014,11,1	2014,11,1	2009,12,08
2014,12,1	2014,12,1	2010,1,01
2015,1,1	2015,1,1	2010,2,01
2015,2,1	2015,2,1	2010,3,15
2015,3,1	2015,3,1	2010,9,01
2015,4,1	2015,4,1	2011,4,01
2015,5,1	2015,5,1	2012,6,01
2015,6,1	2015,6,1	2013,6,01
2015,7,1	2015,7,1	2013,10,01
2015,8,1	2015,8,1	2013,12,15
2015,9,1	2015,9,1	2006,1,01
